rating,author,comment,age
5,ガジェットマニア,触り心地が良くて使いやすいです。カメラホールの位置も正確で満足。長く使えそうな quality を感じます。,36
2,ネコ好き主婦,残念ながらわずか2週間で縫い目がほつれてきました。この価格帯ならもう少し耐久性に期待したいです...,42
4,テックオタク,機能性は申し分ないですね。ただ、もう少し薄手だったら嬉しかったかも。全体的には good choice だと思います。,29
3,山歩き好き,アウトドアでの使用に耐えられるか不安です。防水性があればもっと良かったかな。色は気に入ってます。,33
5,ドラマー,意外と落下に強くてびっくり！ライブハウスで何度か落としましたが、スマホは無事でした。グッジョブ！,25
1,プログラマー,不良品だったようで、ピッタリとフィットしません。交換対応も遅くて困りました。残念な買い物に。,31
4,ヨガインストラクター,軽くて持ちやすいのが good point！ヨガのレッスン中も邪魔にならず、生徒さんに好評です。,27
3,ラーメン屋店主,耐熱性がイマイチかも。厨房で使ってると少し変形しちゃいました。でもデザインは気に入ってます。,39
5,ゲーマー,意外とゲームのコントロールの邪魔にならなくて good！長時間プレイでも手が疲れにくいです。,22
2,釣り人,防水性が足りません。軽い雨で内側に水が入ってしまいました。アウトドア用としては不向きかも。,45
4,カメラマン,カメラホールの縁がレンズを保護してくれるのが nice！ちょっとした撮影にも安心して持ち歩けます。,34
3,サラリーマン,見た目は good ですが、ポケットに入れると少しかさばる感じ。もう少しスリムだったら◎,41
5,主婦,カード収納が便利で財布代わりになります！軽くて使いやすいし、デザインも可愛くて大満足です。,38
2,大学生,友達のおすすめで買ったけど期待はずれ。すぐにボロボロになっちゃって、もう使えない感じ...,20
4,ペット美容師,毛が付きにくい素材で good！仕事中でもサッと拭けばキレイになるのが嬉しいポイントです。,30
3,ウェイター,仕事で使うには少し派手かな？でも機能性は悪くないです。耐久性はこれからのお楽しみ。,26
5,ランナー,軽くて邪魔にならないのがベスト！汗でべたつかないのも good point。ランニングのお供に最適。,28
1,美容師,髪の毛が絡まりやすい素材で使いづらいです。すぐにボロボロになってしまって disappointed...,35
4,バリスタ,コーヒーをこぼしても簡単に拭けるのが嬉しい！耐熱性もあって、カフェでの作業も安心です。,24
3,タクシードライバー,車内での使用には便利ですが、少し滑りやすいかも。落下防止のストラップがあれば perfect。,50
5,ガーデナー,土や水に強くて surprised！ガーデニング中でも気兼ねなく使えるのが嬉しいです。,44
2,高校教師,生徒に人気の柄だったのでうれしかったのですが、耐久性が低すぎます。もう少し丈夫なら good。,37
4,パティシエ,キッチンでの作業中も安心して使えます。flour が付いても簡単に拭き取れるのが good point！,32
3,ミュージシャン,デザインは cool だけど、イヤホンジャックの位置が使いにくいかな。音質への影響も気になります。,23
5,フリーランス,仕事でヘビーに使ってますが、全く問題なし！長時間の使用でも疲れにくくて great です。,36
2,看護師,消毒液で拭いてたらすぐに色落ちしてしまいました。もう少し耐久性があれば使いやすいんだけどなぁ。,29
4,漫画家,イラストを描くのに邪魔にならなくて便利！クリエイティブワークにおすすめの product です。,27
3,バーテンダー,見た目は cool だけど、ちょっと重いかな。バーカウンターでの作業には少し不便かもしれません。,31
5,料理人,耐熱性があって kitchen での作業も安心。油汚れもサッと拭けるのが very good！長く使えそう。,40
1,ネイリスト,思ったより安っぽくてガッカリ。すぐに傷だらけになってしまい、とても disappointed...,25
4,エアライン職員,機内での使用に最適！軽くて使いやすいし、見た目も professional で good impression です。,28
3,歯科医,消毒液で拭いても大丈夫そうですが、もう少し衛生的な素材だったら perfect。色は気に入ってます。,43
5,スパムっぽい投稿,最高のケース!今すぐ買うべき!私の人生を変えました!詳細は私の web サイトで↓↓↓,99
1,スパムっぽい投稿,このケースを使うと iPhone が Android に早変わり！信じられない secret テクを公開中→→→,0
3,ポケモントレーナー,デザインは可愛いけど、マグネットの力が弱くて開きやすいのが難点。ポケモンGOの時は要注意です。,19
2,サーファー,ビーチでの使用はイマイチ。砂がつきやすいし、マグネットが弱くてすぐ開いちゃう。防水性はgood though。,26
4,オフィスレディ,見た目は上品で気に入ってます。ただ、カバンの中でよく開いてしまうのが少し困ります。,32
3,大工さん,作業中に便利に使えてます。でも、マグネットがもう少し強ければなお良かったかな。開きやすいんですよね。,47
2,ヘアメイクアーティスト,色味は素敵だけど、マグネットの弱さがネック。メイク中に開いちゃって、中身が落ちそうになることも。,29
4,デザイナー,スタイリッシュで気に入ってます。ただ、デスクに置いたとき少し不安定。マグネットがもうちょい強いといいな。,33
3,ジョギング愛好家,軽くて走るのに邪魔にならないのは good！けど、汗でべたつくとマグネットの効きが悪くなるのが難点かな。,38
2,教師,授業中に使うには不向きかも。机に置くとすぐ開いちゃって、生徒に中身見られそうで ちょっと困ります。,41
4,カフェオーナー,お店で使うのに見た目が良くて気に入ってます。ただ、レジ横に置くと振動で開きやすいのが玉に瑕。,36
3,主婦,家事しながらの使用には便利だけど、子供が開けやすいのが心配。マグネットもう少し強くても良いかも。,34
5,田中花子,色合いが素敵で気に入りました。カードポケットも便利ですが、マグネットの強さが少し弱いかも。,32
3,佐藤健太,スマホにぴったりフィットしますが、ボタンが押しにくいのが難点です。耐久性はこれからの課題ですね。,45
5,山田優子,軽くて使いやすいです！ストラップホールもあって便利。長く使えそうな良質な商品だと思います。,28
2,鈴木一郎,見た目は良いのですが、カードを入れるとマグネットの影響で使えなくなりました。要改善点です。,39
4,小林美咲,デザインが可愛くて気に入っています。ただ、夏場は少し蒸れやすいかも。全体的には満足です。,23
3,高橋雄太,値段の割には悪くないです。でも、ストラップを付けるとカバーが閉まりにくくなるのが残念。,34